代码,名称,涨幅%,流通市值Z,10日涨幅%,20日涨幅%,细分行业,开盘%,现价,涨跌,封单额,总金额,买价,卖价,总量,现量,涨速%,换手%,今开,最高,最低,昨收,市盈(动),量比,地区,振幅%,均价,内盘
600647,*ST同达,5.01,         11.25亿,10.01,23.02,贸易,5.01,13.63,0.65,374.42,521.07,13.63,--  ,3823,3823,0,0.27,13.63,13.63,13.63,12.98,--  ,39.17,上海,0,13.63,1912
001256,炜冈科技,4.99,          5.85亿,-8.63,-11.05,印刷包装机械,4.99,16.42,0.78,--  ,15.76,16.42,16.44,96,96,0,0.03,16.42,16.42,16.42,15.64,26.54,1.42,浙江,0,16.42,48
688197,首药控股-U,4.98,         18.93亿,-12.52,-20.78,化学制剂,4.98,41.99,1.99,--  ,5.04,40,41.99,12,12,0,0,41.99,41.99,41.99,40,--  ,0.66,北京,0,41.99,6
300930,屹通新材,4.93,          5.72亿,-12.07,-17.53,其他金属新材料,4.93,19.38,0.91,--  ,13.76,18.03,19.38,71,71,0,0.01,19.38,19.38,19.38,18.47,33.56,1.87,浙江,0,19.38,36
000996,*ST中期,4.88,          8.37亿,-15.92,-29.01,汽车经销商,4.88,3.01,0.14,2893.12,68,3.01,--  ,2259,2259,0,0.07,3.01,3.01,3.01,2.87,5037.76,5.84,北京,0,3.01,1130
300479,神思电子,4.7,         24.08亿,-7.43,-14.01,其他IT设备,4.7,16.7,0.75,--  ,83.33,16.18,16.7,499,499,0,0.03,16.7,16.7,16.7,15.95,--  ,3.78,山东,0,16.7,250
605177,东亚药业,4.63,         12.58亿,-10.12,-15.71,原料药,4.63,22.38,0.99,--  ,9.62,22.38,22.51,43,43,0,0,22.38,22.38,22.38,21.39,22.29,0.81,浙江,0,22.38,22
301086,鸿富瀚,4.49,          7.96亿,-12.45,-21.88,消费电子组件,4.49,35.37,1.52,--  ,10.96,34.3,35.37,31,31,0,0.01,35.37,35.37,35.37,33.85,23.44,1.14,深圳,0,35.37,16
603338,浙江鼎力,4.37,        112.46亿,-4.99,2.28,工程机械整机,4.37,51.78,2.17,--  ,454.63,51.78,51.8,878,878,0,0.02,51.78,51.78,51.78,49.61,15.2,9.18,浙江,0,51.78,439
000525,ST红太阳,4.36,         27.87亿,-5.9,-15.23,农药,4.36,7.18,0.3,--  ,269.39,7.16,7.18,3752,3752,0,0.06,7.18,7.18,7.18,6.88,133.34,16.43,江苏,0,7.18,1876
300824,北鼎股份,4.33,          9.73亿,-9.2,-9.4,厨房小家电,4.33,8.19,0.34,--  ,21.29,7.88,8.19,260,260,0,0.01,8.19,8.19,8.19,7.85,38.29,2.49,深圳,0,8.19,130
603685,晨丰科技,4.32,          8.07亿,-6.98,-9.86,LED,4.32,14,0.58,--  ,41.02,13.86,14,293,293,0,0.02,14,14,14,13.42,112.17,6.12,浙江,0,14,147
001376,百通能源,4.21,         10.84亿,19.15,5.23,热力服务,4.21,23.52,0.95,--  ,2226.64,23.5,23.52,9467,9467,0,2.05,23.52,23.52,23.52,22.57,80.89,36.16,江西,0,23.52,4734
688383,新益昌,4.15,         23.59亿,-10.13,-24.85,其他专用设备,4.15,74.99,2.99,--  ,11.14,70.98,74.99,15,15,0,0,74.99,74.99,74.99,72,102.27,0.79,深圳,0,74.99,8
600727,鲁北化工,4.06,         19.58亿,-7.69,-11.69,钛白粉,4.06,5.89,0.23,--  ,50.24,5.81,5.89,853,853,0,0.02,5.89,5.89,5.89,5.66,59.43,3.18,山东,0,5.89,427
